country,year,CATE,CATE_LB,CATE_UB,Significant,Effect_Direction,Control_of_Corruption,Rule_of_Law,Political_Stability,Government_Effectiveness,Regulatory_Quality,Voice_and_Accountability,Age_dependency_ratio,Tertiary_enrollment,Female_labor_participation,Population_total,Urban_population_pct,Population_growth,Life_expectancy,Mortality_rate_adult_male,Railways_route_km,Electric_power_losses,Container_port_traffic,Air_freight_million_ton_km,Mobile_cellular_subscriptions,Internet_users,Fixed_telephone_subscriptions,Domestic_credit_to_private_sector,Market_capitalization,Broad_money_pct_GDP,Lending_interest_rate,Inflation_consumer_prices,Inflation_GDP_deflator,GDP_per_capita_current,GDP_per_capita_constant,GDP_growth,Trade_openness,FDI_net_inflows_pct_GDP,Current_account_balance_pct_GDP,Gross_capital_formation_pct_GDP,Gross_savings_pct_GDP,Exports_pct_GDP,Imports_pct_GDP,Industry_value_added_pct_GDP,Manufacturing_value_added_pct_GDP,Services_value_added_pct_GDP,Agriculture_value_added_pct_GDP,Central_govt_debt_pct_GDP,Energy_use_per_capita,Renewable_energy_consumption_pct,Access_to_electricity_pct,Methane_emissions_kt_CO2_eq,Nitrous_oxide_emissions_kt_CO2_eq,Forest_area_pct,Agricultural_land_pct,Arable_land_pct,Research_and_development_expenditure_pct_GDP,High_tech_exports_pct_mfg_exports,Scientific_journal_articles,Patent_applications_residents,Patent_applications_nonresidents,Govt_expenditure_education_pct_GDP,Current_health_expenditure_pct_GDP
ARG,2000,-0.010865678749446444,-0.02098414524401452,-0.0007472122548783742,True,Reducing CO2,-0.172407656908035,-0.214404493570328,0.0958238765597343,-0.0280386935919523,0.182292386889458,0.418346971273422,60.8399424011737,54.0843505859375,50.552,37213984.0,89.1760271133454,1.13312807570195,73.91,176.022,10131.0,13.9076791693822,1144834.0,296.646,17.4342,7.03868,21.2,23.8947336198062,16.1290412248255,31.8486210586349,24.6745640588226,3.82463743108159,1.03728710073175,7637.01489203628,10631.6503639029,-0.78899893905691,22.6224447777343,3.66579059535379,-3.15992237703676,17.5334874363903,14.3684376958258,10.9863752325576,11.6360695451767,25.9908360111364,16.4942719439838,63.469313441501,4.67991094417297,51.3022296239772,1643.32131961789,9.8,95.7,10446574.2326758,4455876.13080001,12.1964855354461,46.9581867146078,10.0997920845985,0.43884,7.99860974921307,4231.85,1062.0,5574.0,4.58030986785889,8.22001076
ARG,2001,-0.013900528606478503,-0.02590435371806129,-0.001896703494895723,True,Reducing CO2,0.0265776235610247,-0.266611307859421,-0.0363807342946529,0.0873290970921516,0.398661673069,0.403436541557312,60.442088771688,58.4697608947754,49.745,37624825.0,89.3682951289372,1.09794672757946,74.154,174.468,512.0,14.5928078621026,663811.0,124.402,17.9185,9.78081,21.6,20.833574652466,12.4244152562322,27.1392515912455,30.0166666666667,3.82463743108159,-1.09576771833679,7141.47507662826,10051.9448463043,-4.40883968258557,21.8522554515453,0.806164134759348,-1.40694788500181,15.6259653308051,14.2140728227831,11.5790080825317,10.2732473690136,25.2434339827333,16.0932258763829,65.0812573281962,4.56858960891786,56.4292821179909,1518.56737304195,11.5,95.5,6732329.65495156,2800353.56816,12.0808714176615,46.9932655872605,10.1385250064859,0.42461,8.01620176122679,4356.17,691.0,5088.0,4.833740234375,8.37179852
ARG,2002,-0.017070343511653357,-0.028372517865789974,-0.005768169157516727,True,Reducing CO2,-0.417055726051331,-0.761098086833954,-0.776545405387878,-0.228479072451591,-0.880716562271118,0.260062754154205,60.0100181534326,61.7228813171387,47.873,38029349.0,89.5616701920513,1.06941318335345,74.312,174.56,8699.0,15.8832220317948,554800.0,76.419,17.2676,10.8821,20.3,15.3318584042485,16.9569392155608,27.9270695501951,25.5338357716344,14.7149197228147,30.555204053903,2569.69963519124,8861.56199282278,-10.8944848285903,41.7527243585642,2.19895819502207,8.97078467784247,10.8539052402585,21.3431768782392,28.3825969991682,13.370127359396,30.5577370913046,20.347773913878,54.7764456459146,10.2066467144411,44.1698490827743,1484.25701881625,11.6,96.1,6673987.36455156,2787877.03632,11.9652572998769,47.031267699301,10.180911977608,0.38886,8.09206094724751,4681.53,718.0,4143.0,4.01734018325806,7.3933115
ARG,2003,-0.011105117726745712,-0.024380782976540616,0.0021705475230491926,False,Reducing CO2,-0.479976803064346,-0.777115821838379,-0.359838128089905,-0.0342199839651585,-0.691475629806519,0.349125266075134,59.5157720560259,64.0304870605469,48.903,38424282.0,89.752468256564,1.0331399769648,74.307,170.033,9594.0,16.0563013163039,1025055.0,111.811,20.4096,11.9137,22.4,10.7627059172487,27.4280508755432,30.1040572265399,24.6745640588226,48.4093786255199,10.4957030215496,3320.47775133903,9545.53194119994,8.83704079576924,40.6447480311085,1.29481086883944,6.37990680177011,14.1469621012504,21.7345330075457,25.9309429264224,14.7138051046861,32.6450990996503,22.4867505875749,51.0316942508769,10.328166939117,49.1574552067049,1590.61721067918,10.8,96.3,7049368.31368281,3081793.21288,11.8496431820922,47.1749814557001,10.8993711381267,0.41013,12.6494857356401,4484.81,792.0,3765.0,3.53504991531372,6.89451647
ARG,2004,-0.009089251230202105,-0.021188576181860083,0.003010073721455871,False,Reducing CO2,-0.414409548044205,-0.767380177974701,-0.610934913158417,0.015197392553091,-0.698035299777985,0.362040877342224,58.9908808603745,64.5891418457031,49.963,38815916.0,89.9397208794212,1.01407652046238,74.871,161.164,10131.0,16.0950946858265,1251895.0,123.637,34.8114,16.0367,22.6,9.68251819633223,24.6534557360052,28.3256464652642,24.0091666666667,48.4093786255199,18.3633542492033,4242.02099089422,10302.4465316428,9.02957330068152,40.692646108947,2.5050175164097,1.95058324319273,17.5512703642799,13.7828348747865,23.8476194239892,16.8450266849578,28.816922006834,18.9370136214371,47.8369882937827,8.36248661002826,58.7379742383571,1740.90890259945,9.3,96.5,7098656.28863437,3036301.87104,11.7340290643076,47.3186952120993,11.6178302986454,0.40376,7.77207145281516,4604.3,786.0,3816.0,3.48652005195618,7.22868252
ARG,2005,-0.009280474110632543,-0.019871723249207683,0.0013107750279425859,False,Reducing CO2,-0.377738356590271,-0.557991087436676,-0.0417749434709549,-0.0979790613055229,-0.525074362754822,0.269231617450714,58.4885317167095,63.4893112182617,49.098,39216789.0,90.1233737736072,1.02745772191722,75.231,158.217,3150.0,15.8089799468653,1490372.0,132.558,56.4973,17.7206,24.1,10.6534929189359,23.946359886693,28.6633102803828,21.0419233333333,34.2772237131003,10.3175111982406,5067.65342293276,11099.7509190602,8.85165992013437,40.5512709706238,2.64935441452167,2.65363142179073,18.8882641376513,13.7086097328953,23.2458767338576,17.3053942367662,28.6263140439084,18.340415936715,48.4861459282405,7.93875427420938,58.7379742383571,1712.4320350003,9.6,96.7,10596857.9250898,5188026.2312,11.618414946523,47.4737365211259,12.3476170117916,0.42074,8.11983496308117,4883.23,1054.0,4215.0,3.86000990867615,7.61078882
ARG,2006,-0.010335575335920917,-0.021032830368234695,0.00036167969639286715,False,Reducing CO2,-0.33123853802681,-0.57701563835144,0.0019677628297358,-0.0339163094758987,-0.61456698179245,0.403436541557312,58.0003526705021,66.9444732666016,49.738,39622115.0,90.3033726521064,1.02824760534561,75.279,157.634,13488.0,14.6733189943937,1757990.0,124.583,79.5273,20.9272,23.9,11.9102616607561,22.0333391526542,28.0496119297007,20.7653572885806,34.2772237131003,13.7410524859152,5869.38028970204,11870.2791559298,8.04715150043027,40.4334798719151,2.38106854489628,2.79449564264943,18.6804872364334,21.4172295393985,23.0266946038115,17.4067852681036,29.2032796652469,17.8777938558849,48.7491333682456,6.93557229126392,46.0616514241618,1784.01669776279,9.2,97.0,7064844.52194453,3202236.80232,11.5028008287384,47.5533947944415,13.0020206892268,0.45216,7.66325704378624,5574.16,1020.0,4597.0,4.12821006774902,7.64032793
ARG,2007,-0.011234206332435619,-0.019451698298224872,-0.0030167143666463697,True,Reducing CO2,-0.372122079133987,-0.60147225856781,0.0977966338396072,-0.0125325033441186,-0.635693550109863,0.448621332645416,57.5050434620378,66.6672210693359,48.902,40016763.0,90.4796632279031,0.991101935066697,74.783,162.191,512.0,15.3243207538861,1874259.0,132.675,100.962,25.9466,23.7,13.0985413493544,19.8483841980828,27.8643164271472,21.2741666666667,34.2772237131003,14.9399250245835,7185.25155147027,12811.9021206578,9.00765087504757,40.945170618571,2.25129423568361,2.1036160391819,20.099113202908,22.2314441717013,22.6627503115066,18.2824203070644,27.4152361334783,17.0474154518997,49.5083307772744,7.45235394606923,48.2453384728239,1845.91422802344,7.7,97.2,6967583.39983437,3335529.20864,11.3871867109537,47.4910932549905,13.5144645538954,0.46007,6.9617231501078,5682.94,937.0,4806.0,4.46260023117065,7.83455086
ARG,2008,-0.010164555746616333,-0.02120193578903409,0.0008728242958014262,False,Reducing CO2,-0.434875011444092,-0.699731647968292,-0.0877556875348091,-0.123509347438812,-0.702629446983337,0.358895927667618,57.0741876732807,68.5610733032227,48.064,40424148.0,90.6521912139817,1.01288878477428,75.428,158.909,10131.0,14.8949781426591,1997146.0,131.685,115.052,28.1126,24.1,12.313946714342,11.0218432201051,23.4936731580619,20.7653572885806,42.0150947376509,23.1711649813124,8944.1102657357,13197.3570267029,4.05723310346406,40.4026733790382,2.68990096507093,1.49940141614234,19.5727758777106,21.1268023980529,22.0609003826242,18.341772996414,26.2724599395946,16.5383660984547,50.2551922042782,7.3189545972436,46.0616514241618,1889.40923801554,7.7,97.5,8815377.41936562,4382636.00816,11.2715725931691,46.4235627710848,13.0216794741092,0.47055,9.3281735319394,6229.5,801.0,4781.0,4.84440994262695,8.1826973
ARG,2009,-0.012815647096692383,-0.024963507827709536,-0.0006677863656752315,True,Reducing CO2,-0.445475101470947,-0.694468080997467,-0.234854578971863,-0.294032037258148,-0.830836772918701,0.280091494321823,56.735685768345,70.6931915283203,48.788,40854831.0,90.8209023233265,1.05977470732485,75.577,157.021,13868.0,15.5368293719554,1626835.3556,111.663,128.462,34.0,23.9,12.4162075416805,13.7381863641294,25.3227384656624,25.5338357716344,42.0150947376509,15.3776493708921,8150.23527028221,12285.3784651865,-5.91852507634947,34.0571269054879,1.20643922647566,2.1785669619099,16.0531123592112,18.3213663046327,19.5609850560818,14.4961418494061,25.2842047993735,15.5837772738051,53.3060010032753,5.2736234689014,53.1037976577229,1722.74402909882,8.6,97.8,6627289.77894492,2817075.06448,11.1559584753845,45.4302094866426,12.6030715937867,0.58398,9.02970287161486,6819.11,640.0,4336.0,5.53105020523071,9.45599556
ARG,2010,-0.010156057939455508,-0.0233328564549255,0.0030207405760144888,False,Reducing CO2,-0.355230033397675,-0.59809422492981,-0.0847978666424751,-0.1117919459939,-0.742940902709961,0.361670136451721,56.452142111234,73.803669361107,47.689,41288694.0,90.9930051940977,1.05636332156278,75.68,151.509,13488.0,15.8124032853232,2017388.0,193.301253837474,138.252,45.0,24.0,12.6901062454749,15.0863203529933,25.4406025952303,10.5575,34.2772237131003,20.915124272047,10260.1313108254,13387.1553748458,10.1253981561002,34.9710132635696,2.67516171886535,-0.383118699737132,17.7055338062046,17.3318557921569,18.9338234053709,16.0371898581987,25.2587762576722,15.8448608064195,51.4951802052167,7.13216745078964,56.2597208339946,1826.05112368849,8.8,98.8,7831139.79899297,4169245.7252,11.0403443575999,46.1389123357048,13.8865198469684,0.56104,7.68411002023335,7153.65,552.0,4165.0,5.01971006393433,9.44546413
ARG,2011,-0.01149189743963547,-0.02843001840361231,0.0054462235243413655,False,Reducing CO2,-0.364098519086838,-0.563123285770416,0.158993661403656,-0.0723610669374466,-0.701964378356934,0.344941824674606,56.2739537637124,77.0101185060955,47.947,41730660.0,91.1072286738406,1.06474009749784,76.1,150.593,10546.0,14.6379318332741,2193269.0,192.20126,145.511,51.0,23.3,14.0087151168124,8.22014945932331,24.3871239938128,14.0875,34.2772237131003,23.7034721839593,12704.2831819684,14040.6189124444,6.00395169280579,35.2061549999644,2.04465997872008,-1.00728084144866,18.39845891735,17.3332165460366,18.4492091453155,16.7569458546489,25.2126976058843,15.8506983942663,51.8119007511102,6.99873377022519,59.9837867004913,1865.25736115683,8.8,99.0,6207613.7744,3224698.73216,10.9587128976976,45.7919603608739,14.1143132762571,0.56597,7.32173060164583,7625.07,688.0,4133.0,5.29062986373901,9.41819859
